year,borough,postcode,Lat,Lon,crimes
2013-14,BROOKLYN ,11204,40.634875,-73.981528,0
2013-14,BROOKLYN ,11204,40.634875,-73.981528,0
2013-14,BROOKLYN ,11204,40.634875,-73.981528,9
2013-14,BROOKLYN ,11208,40.664075,-73.866092,13
2013-14,BROOKLYN ,11208,40.676129,-73.880337,0
2013-14,BROOKLYN ,11235,40.579737,-73.956329,0
2013-14,BROOKLYN ,11235,40.579737,-73.956329,0
2013-14,BROOKLYN ,11235,40.579737,-73.956329,5
2013-14,BROOKLYN ,11204,40.615252,-73.97635,0
2013-14,BROOKLYN ,11204,40.62191,-73.995022,8
2013-14,BROOKLYN ,11223,40.6013,-73.976953,5
2013-14,BROOKLYN ,11228,40.610963,-74.013376,0
2013-14,BROOKLYN ,11218,40.645017,-73.980761,0
2013-14,BROOKLYN ,11203,40.65843,-73.929076,0
2013-14,BROOKLYN ,11203,40.65843,-73.929076,0
2013-14,BROOKLYN ,11203,40.65843,-73.929076,0
2013-14,BROOKLYN ,11203,40.65843,-73.929076,33
2013-14,BROOKLYN ,11236,40.651022,-73.91402,2
2013-14,BROOKLYN ,11229,40.60422,-73.955485,16
2013-14,BROOKLYN ,11203,40.654704,-73.941089,0
2013-14,BROOKLYN ,11234,40.615998,-73.912989,0
2013-14,BROOKLYN ,11204,40.60731,-73.986595,0
2013-14,BROOKLYN ,11204,40.60731,-73.986595,0
2013-14,BROOKLYN ,11204,40.60731,-73.986595,3
2013-14,BROOKLYN ,11223,40.608862,-73.965058,5
2013-14,BROOKLYN ,11217,40.67634,-73.977367,8
2013-14,BROOKLYN ,11224,40.578188,-73.99203,3
2013-14,BROOKLYN ,11210,40.623561,-73.946279,19
2013-14,BROOKLYN ,11225,40.669339,-73.960675,0
2013-14,BROOKLYN ,11236,40.645685,-73.8989,2
2013-14,BROOKLYN ,11213,40.676094,-73.935688,0
2013-14,BROOKLYN ,11213,40.676094,-73.935688,0
2013-14,BROOKLYN ,11213,40.676094,-73.935688,0
2013-14,BROOKLYN ,11203,40.648423,-73.925948,1
2013-14,BROOKLYN ,11226,40.648608,-73.952821,0
2013-14,BROOKLYN ,11226,40.648608,-73.952821,0
2013-14,BROOKLYN ,11226,40.648608,-73.952821,0
2013-14,BROOKLYN ,11226,40.648608,-73.952821,17
2013-14,BROOKLYN ,11204,40.612273,-73.986713,1
2013-14,BROOKLYN ,11226,40.64971,-73.966046,2
2013-14,BROOKLYN ,11206,40.707104,-73.945475,0
2013-14,BROOKLYN ,11234,40.632524,-73.924417,7
2013-14,BROOKLYN ,11212,40.658295,-73.920109,0
2013-14,BROOKLYN ,11212,40.658295,-73.920109,0
2013-14,BROOKLYN ,11212,40.658295,-73.920109,4
2013-14,BROOKLYN ,11235,40.579607,-73.962071,0
2013-14,BROOKLYN ,11235,40.590423,-73.951753,0
2013-14,BROOKLYN ,11229,40.604349,-73.955528,1
2013-14,BROOKLYN ,11216,40.690725,-73.950433,3
2013-14,BROOKLYN ,11206,40.702392,-73.941801,4
2013-14,BROOKLYN ,11216,40.681572,-73.945446,0
2013-14,BROOKLYN ,11216,40.681572,-73.945446,0
2013-14,BROOKLYN ,11216,40.681572,-73.945446,0
2013-14,QUEENS   ,11357,40.785909,-73.818058,2
2013-14,BROOKLYN ,11216,40.681572,-73.945446,12
2013-14,BROOKLYN ,11228,40.62668,-74.01512,5
2013-14,BROOKLYN ,11207,40.654031,-73.894854,0
2013-14,BROOKLYN ,11207,40.654031,-73.894854,0
2013-14,BROOKLYN ,11207,40.654031,-73.894854,0
2013-14,BROOKLYN ,11201,40.687466,-73.988288,4
2013-14,BROOKLYN ,11233,40.683241,-73.930813,6
2013-14,BROOKLYN ,11212,40.666545,-73.910904,0
2013-14,BROOKLYN ,11212,40.666545,-73.910904,0
2013-14,BROOKLYN ,11212,40.666545,-73.910904,8
2013-14,BROOKLYN ,11209,40.620957,-74.03015,0
