OBJECTID,PROVIDER,LAT,LON,LOCATION_T,BORONAME
83,LinkNYC - Citybridge,40.736332,-73.985123,Outdoor Kiosk,Manhattan
84,LinkNYC - Citybridge,40.736214,-73.9849,Outdoor Kiosk,Manhattan
85,LinkNYC - Citybridge,40.73477,-73.986259,Outdoor Kiosk,Manhattan
86,LinkNYC - Citybridge,40.749982,-73.981236,Outdoor Kiosk,Manhattan
87,LinkNYC - Citybridge,40.735839,-73.985171,Outdoor Kiosk,Manhattan
88,LinkNYC - Citybridge,40.733841,-73.986636,Outdoor Kiosk,Manhattan
89,LinkNYC - Citybridge,40.758275,-73.96913,Outdoor Kiosk,Manhattan
90,LinkNYC - Citybridge,40.760207,-73.967177,Outdoor Kiosk,Manhattan
91,LinkNYC - Citybridge,40.737597,-73.98389,Outdoor Kiosk,Manhattan
92,LinkNYC - Citybridge,40.743035,-73.980242,Outdoor Kiosk,Manhattan
93,LinkNYC - Citybridge,40.741291,-73.981512,Outdoor Kiosk,Manhattan
264,QPL,40.69454658,-73.86144646,Library,Queens
94,LinkNYC - Citybridge,40.742736,-73.980459,Outdoor Kiosk,Manhattan
95,LinkNYC - Citybridge,40.741481,-73.983198,Outdoor Kiosk,Manhattan
96,LinkNYC - Citybridge,40.691234,-73.986384,Outdoor Kiosk,Brooklyn
97,LinkNYC - Citybridge,40.688672,-73.98371,Outdoor Kiosk,Brooklyn
98,LinkNYC - Citybridge,40.683591,-73.967093,Outdoor Kiosk,Brooklyn
99,LinkNYC - Citybridge,40.685787,-73.97332,Outdoor Kiosk,Brooklyn
100,LinkNYC - Citybridge,40.684549,-73.970225,Outdoor Kiosk,Brooklyn
101,LinkNYC - Citybridge,40.6822,-73.961648,Outdoor Kiosk,Brooklyn
102,LinkNYC - Citybridge,40.69828,-73.992555,Outdoor Kiosk,Brooklyn
103,LinkNYC - Citybridge,40.688039,-73.981872,Outdoor Kiosk,Brooklyn
104,LinkNYC - Citybridge,40.683077,-73.964633,Outdoor Kiosk,Brooklyn
105,LinkNYC - Citybridge,40.689408,-73.988729,Outdoor Kiosk,Brooklyn
106,LinkNYC - Citybridge,40.686177,-73.991014,Outdoor Kiosk,Brooklyn
107,LinkNYC - Citybridge,40.686636,-73.993758,Outdoor Kiosk,Brooklyn
108,LinkNYC - Citybridge,40.678079,-73.908374,Outdoor Kiosk,Brooklyn
109,LinkNYC - Citybridge,40.679232,-73.927098,Outdoor Kiosk,Brooklyn
110,LinkNYC - Citybridge,40.67896,-73.924424,Outdoor Kiosk,Brooklyn
111,LinkNYC - Citybridge,40.678654,-73.916507,Outdoor Kiosk,Brooklyn
112,LinkNYC - Citybridge,40.679143,-73.925474,Outdoor Kiosk,Brooklyn
113,LinkNYC - Citybridge,40.680556,-73.951381,Outdoor Kiosk,Brooklyn
114,LinkNYC - Citybridge,40.681853,-73.958535,Outdoor Kiosk,Brooklyn
115,LinkNYC - Citybridge,40.679561,-73.9355,Outdoor Kiosk,Brooklyn
116,LinkNYC - Citybridge,40.679506,-73.955431,Outdoor Kiosk,Brooklyn
117,LinkNYC - Citybridge,40.680197,-73.944903,Outdoor Kiosk,Brooklyn
118,LinkNYC - Citybridge,40.680059,-73.94226,Outdoor Kiosk,Brooklyn
119,LinkNYC - Citybridge,40.679752,-73.939101,Outdoor Kiosk,Brooklyn
120,LinkNYC - Citybridge,40.679815,-73.937627,Outdoor Kiosk,Brooklyn
121,LinkNYC - Citybridge,40.681315,-73.956201,Outdoor Kiosk,Brooklyn
122,LinkNYC - Citybridge,40.680951,-73.955704,Outdoor Kiosk,Brooklyn
123,LinkNYC - Citybridge,40.680015,-73.943843,Outdoor Kiosk,Brooklyn
124,LinkNYC - Citybridge,40.680273,-73.946155,Outdoor Kiosk,Brooklyn
125,LinkNYC - Citybridge,40.679381,-73.929834,Outdoor Kiosk,Brooklyn
126,LinkNYC - Citybridge,40.679015,-73.921802,Outdoor Kiosk,Brooklyn
127,LinkNYC - Citybridge,40.679485,-73.949523,Outdoor Kiosk,Brooklyn
128,LinkNYC - Citybridge,40.679987,-73.949473,Outdoor Kiosk,Brooklyn
129,SPECTRUM,40.846889,-73.941333,Outdoor,Manhattan
130,SPECTRUM,40.846472,-73.941722,Outdoor,Manhattan
131,SPECTRUM,40.8462,-73.941347,Outdoor,Manhattan
132,SPECTRUM,40.846444,-73.939981,Outdoor,Manhattan
133,SPECTRUM,40.846686,-73.940883,Indoor,Manhattan
134,AT&T,40.7931,-73.9354,Outdoor,Manhattan
135,AT&T,40.777,-73.9252,Outdoor,Queens
136,AT&T,40.7221,-73.8466,Outdoor,Queens
137,AT&T,40.6173,-74.1063,Outdoor,Staten Island
138,SPECTRUM,40.846562,-73.94086,Indoor,Manhattan
139,SPECTRUM,40.846383,-73.940706,Indoor,Manhattan
140,SPECTRUM,40.824778,-73.942178,Outdoor,Manhattan
141,SPECTRUM,40.824131,-73.942464,Indoor,Manhattan
142,SPECTRUM,40.824131,-73.942464,Indoor,Manhattan
143,SPECTRUM,40.824131,-73.942464,Indoor,Manhattan
144,SPECTRUM,40.824131,-73.942464,Indoor,Manhattan
145,AT&T,40.589,-74.0667,Outdoor,Staten Island
146,AT&T,40.7148,-74.0028,Outdoor,Manhattan
147,AT&T,40.7265,-73.9817,Outdoor,Manhattan
