date,positions
3-Aug-17,1
3-Aug-17,1
3-Aug-17,1
3-Aug-17,1
3-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
2-Aug-17,1
1-Aug-17,4
1-Aug-17,4
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,2
1-Aug-17,2
1-Aug-17,1
1-Aug-17,1
1-Aug-17,2
1-Aug-17,2
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
1-Aug-17,1
31-Jul-17,1
31-Jul-17,4
31-Jul-17,4
31-Jul-17,2
31-Jul-17,2
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
31-Jul-17,4
31-Jul-17,4
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
31-Jul-17,4
31-Jul-17,4
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
31-Jul-17,1
29-Jul-17,1
29-Jul-17,1
28-Jul-17,28
28-Jul-17,1
28-Jul-17,1
28-Jul-17,3
28-Jul-17,3
28-Jul-17,1
28-Jul-17,1
28-Jul-17,1
28-Jul-17,1
28-Jul-17,1
28-Jul-17,1
28-Jul-17,1
28-Jul-17,1
28-Jul-17,1
28-Jul-17,28
28-Jul-17,1
28-Jul-17,3
28-Jul-17,3
28-Jul-17,3
28-Jul-17,3
28-Jul-17,28
28-Jul-17,1
28-Jul-17,1
28-Jul-17,1
28-Jul-17,1
28-Jul-17,14
28-Jul-17,14
28-Jul-17,2
28-Jul-17,3
28-Jul-17,3
28-Jul-17,1
28-Jul-17,1
27-Jul-17,1
27-Jul-17,1
27-Jul-17,1
27-Jul-17,1
27-Jul-17,1
27-Jul-17,1
27-Jul-17,1
27-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,5
26-Jul-17,5
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
26-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,1
25-Jul-17,8
25-Jul-17,1
25-Jul-17,8
24-Jul-17,1
24-Jul-17,1
24-Jul-17,1
24-Jul-17,1
24-Jul-17,1
24-Jul-17,1
24-Jul-17,1
24-Jul-17,1
24-Jul-17,1
24-Jul-17,4
24-Jul-17,4
24-Jul-17,1
24-Jul-17,1
24-Jul-17,1
24-Jul-17,1
22-Jul-17,10
22-Jul-17,10
21-Jul-17,1
21-Jul-17,1
21-Jul-17,1
21-Jul-17,1
21-Jul-17,2
21-Jul-17,2
21-Jul-17,1
21-Jul-17,1
21-Jul-17,1
21-Jul-17,1
21-Jul-17,1
21-Jul-17,1
21-Jul-17,1
21-Jul-17,1
21-Jul-17,1
21-Jul-17,1
20-Jul-17,1
20-Jul-17,1
20-Jul-17,1
20-Jul-17,1
20-Jul-17,1
20-Jul-17,1
20-Jul-17,60
20-Jul-17,60
20-Jul-17,1
20-Jul-17,1
20-Jul-17,1
20-Jul-17,1
20-Jul-17,2
20-Jul-17,2
20-Jul-17,1
20-Jul-17,1
20-Jul-17,1
